No,STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,TAHSIL_CODE,TAHSIL_NAME,VILLAGE_CODE,VILLAGE_NAME,Buffaloes,Cattle,Goats,Pigs,Sheep,Cattle + Buffalo,Sheep + Goat,All
19083,29,KARNATAKA,559,Raichur,5462,Manvi,601036,Yedival,138,377,139,0,534,515,673,1188
19148,29,KARNATAKA,559,Raichur,5459,Lingsugur,600373,Kansavi,128,379,375,0,1187,507,1562,2069
19190,29,KARNATAKA,559,Raichur,5460,Devadurga,600690,Jaradbandi,29,381,245,0,716,410,961,1371
19217,29,KARNATAKA,559,Raichur,5461,Raichur,600817,J  Venktapur,26,382,0,0,506,408,506,914
19273,29,KARNATAKA,559,Raichur,5463,Sindhnur,601164,Timmapur,336,383,113,0,790,719,903,1622
19293,29,KARNATAKA,559,Raichur,5459,Lingsugur,600454,Tanmankal,78,384,369,0,882,462,1251,1713
19324,29,KARNATAKA,559,Raichur,5461,Raichur,600828,Dinni,115,385,244,0,89,500,333,833
19339,29,KARNATAKA,559,Raichur,5462,Manvi,600936,Toppal Doddi,23,386,518,0,295,409,813,1222
19363,29,KARNATAKA,559,Raichur,5463,Sindhnur,601089,Tidgol,410,386,165,0,1033,796,1198,1994
19383,29,KARNATAKA,559,Raichur,5460,Devadurga,600684,Jinnapur,105,387,134,0,216,492,350,842
19405,29,KARNATAKA,559,Raichur,5461,Raichur,645576,Kalavaladoddi,96,388,269,0,1250,484,1519,2003
19414,29,KARNATAKA,559,Raichur,5463,Sindhnur,601073,Chikbhergi,149,388,668,0,3094,537,3762,4299
19474,29,KARNATAKA,559,Raichur,5460,Devadurga,600653,Honnatagi,14,391,89,0,196,405,285,690
19501,29,KARNATAKA,559,Raichur,5463,Sindhnur,601188,Badarli,108,392,163,0,589,500,752,1252
19562,29,KARNATAKA,559,Raichur,5462,Manvi,600972,Ganadinni,77,394,286,0,34,471,320,791
19569,29,KARNATAKA,559,Raichur,5459,Lingsugur,600407,Toral Benchi,157,394,390,0,1514,551,1904,2455
19571,29,KARNATAKA,559,Raichur,5463,Sindhnur,601202,Amarapur,176,394,446,0,1659,570,2105,2675
19592,29,KARNATAKA,559,Raichur,5460,Devadurga,600711,Nagoli,96,395,308,0,133,491,441,932
19602,29,KARNATAKA,559,Raichur,5463,Sindhnur,601126,Kunnatgi,552,395,248,0,585,947,833,1780
19623,29,KARNATAKA,559,Raichur,5461,Raichur,600793,Bolmandoddi,93,396,562,0,806,489,1368,1857
19627,29,KARNATAKA,559,Raichur,5462,Manvi,600888,Watgal,130,396,50,33,992,526,1042,1601
19635,29,KARNATAKA,559,Raichur,5461,Raichur,600860,Heerapur,258,396,57,0,228,654,285,939
19651,29,KARNATAKA,559,Raichur,5460,Devadurga,600681,Teggihal,77,397,82,0,293,474,375,849
19678,29,KARNATAKA,559,Raichur,5462,Manvi,600928,Chincharaki,83,398,744,53,1128,481,1872,2406
19683,29,KARNATAKA,559,Raichur,5459,Lingsugur,600432,Kallilingsugur,179,398,573,0,2247,577,2820,3397
19696,29,KARNATAKA,559,Raichur,5459,Lingsugur,600447,Kadadargaddi,21,399,414,0,1014,420,1428,1848
19741,29,KARNATAKA,559,Raichur,5459,Lingsugur,600534,Talekhan,171,400,284,0,555,571,839,1410
19758,29,KARNATAKA,559,Raichur,5462,Manvi,600955,Hunched,98,401,455,0,376,499,831,1330
19760,29,KARNATAKA,559,Raichur,5462,Manvi,600947,Dewatgal,123,401,336,0,561,524,897,1421
19781,29,KARNATAKA,559,Raichur,5461,Raichur,600847,Purtipali,148,402,336,0,181,550,517,1067
19786,29,KARNATAKA,559,Raichur,5463,Sindhnur,601071,Umloti,193,402,241,0,1363,595,1604,2199
19812,29,KARNATAKA,559,Raichur,5461,Raichur,600733,Kadlur,147,403,678,116,1791,550,2469,3135
19850,29,KARNATAKA,559,Raichur,5460,Devadurga,600563,Mukanhal,31,405,361,0,516,436,877,1313
19851,29,KARNATAKA,559,Raichur,5461,Raichur,600764,Appandoddi,50,405,76,0,67,455,143,598
19876,29,KARNATAKA,559,Raichur,5459,Lingsugur,600365,Advibhavi (Mudgal),63,406,201,0,842,469,1043,1512
19877,29,KARNATAKA,559,Raichur,5463,Sindhnur,601108,Hanpanhal,65,406,305,0,1351,471,1656,2127
19885,29,KARNATAKA,559,Raichur,5460,Devadurga,600558,Karadigudda,128,406,421,0,1163,534,1584,2118
19946,29,KARNATAKA,559,Raichur,5461,Raichur,600791,Baidoddi,184,408,207,23,246,592,453,1068
19967,29,KARNATAKA,559,Raichur,5459,Lingsugur,600482,Hire Nagnur,84,409,282,0,763,493,1045,1538
19970,29,KARNATAKA,559,Raichur,5459,Lingsugur,600430,Bhupur,138,409,462,0,1347,547,1809,2356
20015,29,KARNATAKA,559,Raichur,5459,Lingsugur,600487,Gejjelagatta,109,411,228,0,585,520,813,1333
20018,29,KARNATAKA,559,Raichur,5461,Raichur,600798,Devanpalli,127,411,645,0,3159,538,3804,4342
20024,29,KARNATAKA,559,Raichur,5463,Sindhnur,601219,Channahalli,239,411,123,80,295,650,418,1148
20152,29,KARNATAKA,559,Raichur,5460,Devadurga,600581,Devergud,26,417,759,0,751,443,1510,1953
20237,29,KARNATAKA,559,Raichur,5459,Lingsugur,600425,Margatnal,83,420,134,0,325,503,459,962
20241,29,KARNATAKA,559,Raichur,5461,Raichur,600767,Nagandoddi,125,420,458,0,48,545,506,1051
20251,29,KARNATAKA,559,Raichur,5462,Manvi,601026,Mustoor,219,420,93,0,907,639,1000,1639
20259,29,KARNATAKA,559,Raichur,5461,Raichur,600752,Raldoddi,63,421,122,0,79,484,201,685
20275,29,KARNATAKA,559,Raichur,5463,Sindhnur,601093,Virapapur,346,421,37,0,1727,767,1764,2531
20281,29,KARNATAKA,559,Raichur,5459,Lingsugur,600363,Killar Hatti,57,422,346,0,1395,479,1741,2220
20298,29,KARNATAKA,559,Raichur,5462,Manvi,601022,Madlapur,305,422,98,68,618,727,716,1511
20369,29,KARNATAKA,559,Raichur,5460,Devadurga,600641,Apprahal,19,425,124,0,555,444,679,1123
20381,29,KARNATAKA,559,Raichur,5461,Raichur,600774,Arsigera,105,425,123,0,151,530,274,804
20391,29,KARNATAKA,559,Raichur,5463,Sindhnur,601226,Mukunda,308,425,260,0,76,733,336,1069
20413,29,KARNATAKA,559,Raichur,5463,Sindhnur,601123,Devergudi,732,426,134,0,1772,1158,1906,3064
20431,29,KARNATAKA,559,Raichur,5462,Manvi,600910,Halapur,304,427,391,0,940,731,1331,2062
20440,29,KARNATAKA,559,Raichur,5459,Lingsugur,600449,Shilahalli,69,428,968,0,2157,497,3125,3622
20543,29,KARNATAKA,559,Raichur,5462,Manvi,600965,Gavigat,365,432,160,0,275,797,435,1232
20554,29,KARNATAKA,559,Raichur,5459,Lingsugur,600348,Halkawatgi,71,433,431,0,1877,504,2308,2812
20598,29,KARNATAKA,559,Raichur,5463,Sindhnur,601065,Hirebhergi,111,435,516,0,1147,546,1663,2209
20653,29,KARNATAKA,559,Raichur,5461,Raichur,600854,Kannedoddi,41,438,123,0,129,479,252,731
20730,29,KARNATAKA,559,Raichur,5463,Sindhnur,601181,Madsirwar,229,441,425,0,2569,670,2994,3664
20747,29,KARNATAKA,559,Raichur,5460,Devadurga,600551,Yergudda,59,442,405,0,1336,501,1741,2242
20750,29,KARNATAKA,559,Raichur,5459,Lingsugur,600388,Vyakarnhal,122,442,656,0,1476,564,2132,2696
20752,29,KARNATAKA,559,Raichur,5459,Lingsugur,600441,Hoovinabhavi,174,442,1078,0,4970,616,6048,6664
20816,29,KARNATAKA,559,Raichur,5460,Devadurga,600615,Samudra,197,445,401,0,766,642,1167,1809
20836,29,KARNATAKA,559,Raichur,5461,Raichur,600746,Korthkunda,172,446,453,0,36,618,489,1107
20864,29,KARNATAKA,559,Raichur,5460,Devadurga,600569,Kakkaldoddi,158,447,27,0,63,605,90,695
20899,29,KARNATAKA,559,Raichur,5461,Raichur,600777,Singnodi,117,449,303,0,179,566,482,1048
20926,29,KARNATAKA,559,Raichur,5463,Sindhnur,601136,Goudanbhavi,323,450,106,0,298,773,404,1177
20940,29,KARNATAKA,559,Raichur,5459,Lingsugur,600393,Kumarkhed,50,451,541,0,2214,501,2755,3256
20951,29,KARNATAKA,559,Raichur,5459,Lingsugur,600418,Kalapur,122,451,463,0,1178,573,1641,2214
20970,29,KARNATAKA,559,Raichur,5463,Sindhnur,601212,Kengal,230,452,128,0,170,682,298,980
20973,29,KARNATAKA,559,Raichur,5463,Sindhnur,601091,Kurukunda,519,452,168,145,1793,971,1961,3077
21001,29,KARNATAKA,559,Raichur,5463,Sindhnur,601186,Alabanoor,81,454,362,0,268,535,630,1165
21003,29,KARNATAKA,559,Raichur,5459,Lingsugur,600409,Bendona,103,454,147,0,320,557,467,1024
21051,29,KARNATAKA,559,Raichur,5461,Raichur,600724,Arshanagi,97,456,96,74,55,553,151,778
21057,29,KARNATAKA,559,Raichur,5460,Devadurga,600685,Govindpalli,195,456,385,0,1497,651,1882,2533
21060,29,KARNATAKA,559,Raichur,5462,Manvi,600990,Kardigud,404,456,55,0,21,860,76,936
21071,29,KARNATAKA,559,Raichur,5460,Devadurga,600689,Shivangi,94,457,345,15,522,551,867,1433
21097,29,KARNATAKA,559,Raichur,5462,Manvi,600979,Sannahosur,264,458,124,0,74,722,198,920
21126,29,KARNATAKA,559,Raichur,5459,Lingsugur,600467,Yaradona,98,460,284,0,427,558,711,1269
21163,29,KARNATAKA,559,Raichur,5459,Lingsugur,600431,Rampur,96,462,403,0,1434,558,1837,2395
21175,29,KARNATAKA,559,Raichur,5460,Devadurga,600580,Madarkal,14,463,765,0,2213,477,2978,3455
21212,29,KARNATAKA,559,Raichur,5460,Devadurga,600604,Chickbudur,46,465,136,0,571,511,707,1218
21219,29,KARNATAKA,559,Raichur,5461,Raichur,600822,Nelhal,384,465,189,0,341,849,530,1379
21234,29,KARNATAKA,559,Raichur,5461,Raichur,600773,Chandrabanda,227,466,739,36,6354,693,7093,7822
21239,29,KARNATAKA,559,Raichur,5463,Sindhnur,601154,Sultanpur,473,466,350,0,281,939,631,1570
21277,29,KARNATAKA,559,Raichur,5462,Manvi,601000,Aroli,65,469,25,0,115,534,140,674
21284,29,KARNATAKA,559,Raichur,5460,Devadurga,600631,Miyapur,108,469,137,0,370,577,507,1084
21328,29,KARNATAKA,559,Raichur,5463,Sindhnur,601128,Tippanhatti,142,471,382,0,1058,613,1440,2053
21344,29,KARNATAKA,559,Raichur,5462,Manvi,600951,Wadwatti,69,472,314,0,562,541,876,1417
21369,29,KARNATAKA,559,Raichur,5461,Raichur,600845,Gadhar,148,473,1046,0,2554,621,3600,4221
21402,29,KARNATAKA,559,Raichur,5459,Lingsugur,600508,Sultanpur,55,475,100,0,2850,530,2950,3480
21410,29,KARNATAKA,559,Raichur,5459,Lingsugur,600352,Nagarhal,156,475,249,298,959,631,1208,2137
21417,29,KARNATAKA,559,Raichur,5462,Manvi,600973,Jalapur,339,475,0,0,512,814,512,1326
21426,29,KARNATAKA,559,Raichur,5462,Manvi,600885,Yatgal,76,476,300,0,1231,552,1531,2083
21447,29,KARNATAKA,559,Raichur,5462,Manvi,601039,Utaknur,433,477,107,0,632,910,739,1649
21501,29,KARNATAKA,559,Raichur,5459,Lingsugur,600446,Yaragudi,63,480,470,0,1216,543,1686,2229
21503,29,KARNATAKA,559,Raichur,5459,Lingsugur,600448,Hanchinal,89,480,487,0,1366,569,1853,2422
21538,29,KARNATAKA,559,Raichur,5462,Manvi,601044,Jeenur,360,481,146,0,486,841,632,1473
21540,29,KARNATAKA,559,Raichur,5463,Sindhnur,601131,Butaldinni,525,481,141,0,270,1006,411,1417
21553,29,KARNATAKA,559,Raichur,5462,Manvi,600956,Murkigudda,64,483,849,0,156,547,1005,1552
21606,29,KARNATAKA,559,Raichur,5463,Sindhnur,601161,Banniganur,257,486,362,0,638,743,1000,1743
21618,29,KARNATAKA,559,Raichur,5460,Devadurga,600590,Joladhadgi,67,487,179,0,126,554,305,859
21635,29,KARNATAKA,559,Raichur,5459,Lingsugur,600354,Baiyapur,188,488,139,0,477,676,616,1292
21671,29,KARNATAKA,559,Raichur,5460,Devadurga,600614,Venglapur,124,490,370,0,869,614,1239,1853
21688,29,KARNATAKA,559,Raichur,5461,Raichur,600753,Waddepalli,79,491,148,0,16,570,164,734
21698,29,KARNATAKA,559,Raichur,5463,Sindhnur,601160,Ramathanhal,222,491,183,0,543,713,726,1439
21798,29,KARNATAKA,559,Raichur,5461,Raichur,600778,Yegnur,68,497,221,0,1201,565,1422,1987
21814,29,KARNATAKA,559,Raichur,5462,Manvi,600954,Narabanda,97,498,588,0,594,595,1182,1777
21896,29,KARNATAKA,559,Raichur,5460,Devadurga,600586,Anchesugur,128,502,112,0,408,630,520,1150
21937,29,KARNATAKA,559,Raichur,5462,Manvi,601010,Korvi,197,504,0,0,925,701,925,1626
21939,29,KARNATAKA,559,Raichur,5459,Lingsugur,600428,Kachapur,244,504,402,0,842,748,1244,1992
21942,29,KARNATAKA,559,Raichur,5459,Lingsugur,600507,Mudaldinni,35,505,207,0,1477,540,1684,2224
21967,29,KARNATAKA,559,Raichur,5463,Sindhnur,601081,Hanchinhal (K),197,506,99,0,226,703,325,1028
21969,29,KARNATAKA,559,Raichur,5462,Manvi,600978,Sangapur,429,506,403,0,305,935,708,1643
22006,29,KARNATAKA,559,Raichur,5460,Devadurga,600673,Neelgal,39,508,192,0,13,547,205,752
22014,29,KARNATAKA,559,Raichur,5460,Devadurga,600718,Jagir-Jadaldinni,133,508,819,7,442,641,1261,1909
22016,29,KARNATAKA,559,Raichur,5460,Devadurga,600570,Kamaldinni,147,508,791,0,732,655,1523,2178
22026,29,KARNATAKA,559,Raichur,5462,Manvi,600938,Hussainpur,97,509,558,0,2058,606,2616,3222
22029,29,KARNATAKA,559,Raichur,5460,Devadurga,600703,Anwar,149,509,700,0,2478,658,3178,3836
22049,29,KARNATAKA,559,Raichur,5459,Lingsugur,600436,Sarjapur,88,510,405,0,218,598,623,1221
22051,29,KARNATAKA,559,Raichur,5460,Devadurga,600552,Bassapur,110,510,405,0,347,620,752,1372
22085,29,KARNATAKA,559,Raichur,5460,Devadurga,600694,Mallinaikandoddi,79,512,490,0,691,591,1181,1772
22141,29,KARNATAKA,559,Raichur,5462,Manvi,600969,Atnur,65,515,69,0,0,580,69,649
22142,29,KARNATAKA,559,Raichur,5459,Lingsugur,600469,Honnahalli,75,515,305,0,908,590,1213,1803
22160,29,KARNATAKA,559,Raichur,5462,Manvi,600890,Ameengad,237,516,621,49,1315,753,1936,2738
22172,29,KARNATAKA,559,Raichur,5459,Lingsugur,600506,Maraldinni,48,517,311,0,1155,565,1466,2031
22173,29,KARNATAKA,559,Raichur,5459,Lingsugur,600391,Chattar,48,517,398,0,2613,565,3011,3576
22184,29,KARNATAKA,559,Raichur,5461,Raichur,600852,Midgaldinni,69,518,23,0,286,587,309,896
22190,29,KARNATAKA,559,Raichur,5463,Sindhnur,601116,Kholabal,299,518,82,0,712,817,794,1611
22194,29,KARNATAKA,559,Raichur,5460,Devadurga,600644,Bommanhal,35,519,193,0,2,554,195,749
22216,29,KARNATAKA,559,Raichur,5463,Sindhnur,601201,Hosshalli (Ej),800,520,154,0,669,1320,823,2143
22266,29,KARNATAKA,559,Raichur,5460,Devadurga,600648,Hirebudur,75,523,145,0,274,598,419,1017
22270,29,KARNATAKA,559,Raichur,5459,Lingsugur,600512,Timmapur,115,523,223,0,1487,638,1710,2348
22290,29,KARNATAKA,559,Raichur,5459,Lingsugur,600355,Khairwadgi,160,524,273,0,1074,684,1347,2031
22314,29,KARNATAKA,559,Raichur,5461,Raichur,600743,Ibrahimdoddi,81,526,83,0,795,607,878,1485
22335,29,KARNATAKA,559,Raichur,5459,Lingsugur,600389,Nagalapur,192,527,781,0,3196,719,3977,4696
22352,29,KARNATAKA,559,Raichur,5462,Manvi,601004,Gorkal,185,528,450,40,1212,713,1662,2415
22388,29,KARNATAKA,559,Raichur,5463,Sindhnur,601187,Haretnur,162,530,160,0,250,692,410,1102
22404,29,KARNATAKA,559,Raichur,5462,Manvi,601016,Rajoli,96,531,331,0,554,627,885,1512
22433,29,KARNATAKA,559,Raichur,5462,Manvi,600983,Machnur,30,534,201,0,247,564,448,1012
22521,29,KARNATAKA,559,Raichur,5460,Devadurga,600579,Palkanmardi,108,539,719,0,1824,647,2543,3190
22556,29,KARNATAKA,559,Raichur,5460,Devadurga,600585,Chadkalgudda,24,542,569,0,1344,566,1913,2479
22564,29,KARNATAKA,559,Raichur,5460,Devadurga,600668,Maladkal,141,542,405,0,124,683,529,1212
22583,29,KARNATAKA,559,Raichur,5462,Manvi,600980,Lakkam Dinni,140,543,189,0,0,683,189,872
22592,29,KARNATAKA,559,Raichur,5459,Lingsugur,600368,Jantapur,99,544,174,0,781,643,955,1598
22593,29,KARNATAKA,559,Raichur,5459,Lingsugur,600419,Aidanhal,104,544,271,0,1318,648,1589,2237
22601,29,KARNATAKA,559,Raichur,5461,Raichur,600790,Wadwati,340,544,678,0,467,884,1145,2029
22609,29,KARNATAKA,559,Raichur,5462,Manvi,601045,Potanhal,449,545,248,0,2023,994,2271,3265
22621,29,KARNATAKA,559,Raichur,5463,Sindhnur,601110,Hanchinhal (U),451,546,92,0,630,997,722,1719
22637,29,KARNATAKA,559,Raichur,5462,Manvi,600966,Aldhal,358,547,369,0,276,905,645,1550
22647,29,KARNATAKA,559,Raichur,5459,Lingsugur,600465,Paramapur,91,548,443,0,2079,639,2522,3161
22658,29,KARNATAKA,559,Raichur,5461,Raichur,600879,Gangwar,105,549,59,0,27,654,86,740
22659,29,KARNATAKA,559,Raichur,5459,Lingsugur,600429,Mavinbhavi,123,549,271,0,708,672,979,1651
22674,29,KARNATAKA,559,Raichur,5460,Devadurga,600640,Madarkal,49,550,211,0,424,599,635,1234
22684,29,KARNATAKA,559,Raichur,5462,Manvi,600998,Bailmarchad,179,550,471,30,159,729,630,1389
22686,29,KARNATAKA,559,Raichur,5462,Manvi,601031,Hosur Umli,204,550,248,0,123,754,371,1125
22696,29,KARNATAKA,559,Raichur,5459,Lingsugur,600424,Neeralkera,107,551,336,0,1217,658,1553,2211
22717,29,KARNATAKA,559,Raichur,5462,Manvi,600919,Toran Dinni,339,552,314,53,381,891,695,1639
22727,29,KARNATAKA,559,Raichur,5459,Lingsugur,600470,Gudadanhal,200,553,303,0,0,753,303,1056
22728,29,KARNATAKA,559,Raichur,5459,Lingsugur,600500,Ankusadoddi,241,553,642,0,935,794,1577,2371
22813,29,KARNATAKA,559,Raichur,5460,Devadurga,600565,Ganajali,62,559,219,0,1307,621,1526,2147
22814,29,KARNATAKA,559,Raichur,5459,Lingsugur,600462,Benchaldoddi,66,559,626,0,950,625,1576,2201
22840,29,KARNATAKA,559,Raichur,5463,Sindhnur,601147,Diddigi,232,560,150,0,207,792,357,1149
22886,29,KARNATAKA,559,Raichur,5462,Manvi,601047,Janekal,275,563,318,0,232,838,550,1388
22907,29,KARNATAKA,559,Raichur,5461,Raichur,600816,Kalmala,377,564,436,0,112,941,548,1489
22987,29,KARNATAKA,559,Raichur,5459,Lingsugur,600471,Medinapur,72,570,512,0,2042,642,2554,3196
23036,29,KARNATAKA,559,Raichur,5459,Lingsugur,600516,Advibhavi(Maski),68,573,274,0,367,641,641,1282
23038,29,KARNATAKA,559,Raichur,5461,Raichur,600742,Ganjhalli,101,573,385,59,37,674,422,1155
23059,29,KARNATAKA,559,Raichur,5461,Raichur,600878,Naddigaddimalkapur,128,575,90,0,1703,703,1793,2496
23089,29,KARNATAKA,559,Raichur,5459,Lingsugur,600417,Mincheri,143,577,1055,0,1311,720,2366,3086
23107,29,KARNATAKA,559,Raichur,5460,Devadurga,600702,Adkalgud,51,579,613,0,1206,630,1819,2449
23146,29,KARNATAKA,559,Raichur,5463,Sindhnur,601182,Belgurki,80,582,338,0,1055,662,1393,2055
23162,29,KARNATAKA,559,Raichur,5462,Manvi,600957,Marata,99,583,639,0,84,682,723,1405
23211,29,KARNATAKA,559,Raichur,5460,Devadurga,600599,Yatgal,127,587,262,0,292,714,554,1268
23258,29,KARNATAKA,559,Raichur,5460,Devadurga,600606,Ramanhal,84,590,166,0,353,674,519,1193
23275,29,KARNATAKA,559,Raichur,5461,Raichur,600805,Jegarkal,117,592,453,0,1289,709,1742,2451
23276,29,KARNATAKA,559,Raichur,5459,Lingsugur,600415,Kesarhatti,125,592,549,0,484,717,1033,1750
23281,29,KARNATAKA,559,Raichur,5460,Devadurga,600639,Hireraikumpi,9,593,46,0,540,602,586,1188
23286,29,KARNATAKA,559,Raichur,5460,Devadurga,600583,Sunnadkal,78,593,381,0,1090,671,1471,2142
23287,29,KARNATAKA,559,Raichur,5460,Devadurga,600671,Maseedpur,78,593,475,0,2194,671,2669,3340
23319,29,KARNATAKA,559,Raichur,5463,Sindhnur,601063,Gadratigi,155,595,297,0,419,750,716,1466
23411,29,KARNATAKA,559,Raichur,5463,Sindhnur,601075,Kalmangi,193,603,412,66,2958,796,3370,4232
23415,29,KARNATAKA,559,Raichur,5463,Sindhnur,601220,Siddrampur,349,603,400,0,859,952,1259,2211
23440,29,KARNATAKA,559,Raichur,5463,Sindhnur,601068,Virapur,0,606,64,0,1042,606,1106,1712
23459,29,KARNATAKA,559,Raichur,5460,Devadurga,600672,Ganekal,72,607,124,0,1,679,125,804
23481,29,KARNATAKA,559,Raichur,5463,Sindhnur,601162,Yapalparvi,306,608,80,0,498,914,578,1492
23561,29,KARNATAKA,559,Raichur,5462,Manvi,600996,Kapgal,185,615,0,36,17,800,17,853
23582,29,KARNATAKA,559,Raichur,5463,Sindhnur,601094,Arlihalli,546,618,72,0,3980,1164,4052,5216
23594,29,KARNATAKA,559,Raichur,5463,Sindhnur,601080,Hanumapur,230,619,151,0,409,849,560,1409
23628,29,KARNATAKA,559,Raichur,5463,Sindhnur,601168,Dumti,265,622,52,0,65,887,117,1004
23629,29,KARNATAKA,559,Raichur,5463,Sindhnur,601217,Malakapur,276,622,234,0,587,898,821,1719
23683,29,KARNATAKA,559,Raichur,5462,Manvi,600953,Malat,111,627,363,0,66,738,429,1167
23705,29,KARNATAKA,559,Raichur,5460,Devadurga,600680,Hemnur,187,629,1044,0,1128,816,2172,2988
23724,29,KARNATAKA,559,Raichur,5461,Raichur,600761,Athkur,112,631,174,0,1521,743,1695,2438
23730,29,KARNATAKA,559,Raichur,5459,Lingsugur,600396,Chittapur,210,631,120,0,841,841,961,1802
23798,29,KARNATAKA,559,Raichur,5461,Raichur,600858,Matmari,208,637,95,0,386,845,481,1326
23819,29,KARNATAKA,559,Raichur,5462,Manvi,600976,Chagbhavi,793,639,374,0,213,1432,587,2019
23827,29,KARNATAKA,559,Raichur,5461,Raichur,600871,Gandhal,298,640,379,60,90,938,469,1467
23830,29,KARNATAKA,559,Raichur,5459,Lingsugur,600529,Desai-Bhogapur,34,641,545,0,4492,675,5037,5712
23892,29,KARNATAKA,559,Raichur,5463,Sindhnur,601078,Bassapur (K),328,646,98,0,98,974,196,1170
23893,29,KARNATAKA,559,Raichur,5463,Sindhnur,601127,Pagadadinni,332,646,88,0,128,978,216,1194
23912,29,KARNATAKA,559,Raichur,5461,Raichur,600808,Manslapur,85,648,154,0,990,733,1144,1877
23924,29,KARNATAKA,559,Raichur,5462,Manvi,600932,Kasan Doddi,65,649,752,0,1683,714,2435,3149
23935,29,KARNATAKA,559,Raichur,5460,Devadurga,600577,Ooti,73,650,916,0,1276,723,2192,2915
23937,29,KARNATAKA,559,Raichur,5462,Manvi,600958,Nawalkal,132,650,525,0,775,782,1300,2082
23994,29,KARNATAKA,559,Raichur,5459,Lingsugur,600437,Gonwar,106,656,490,0,700,762,1190,1952
24027,29,KARNATAKA,559,Raichur,5462,Manvi,600989,Harvi,451,659,572,0,369,1110,941,2051
24094,29,KARNATAKA,559,Raichur,5459,Lingsugur,600495,Kunikellur,133,665,827,0,1673,798,2500,3298
24102,29,KARNATAKA,559,Raichur,5459,Lingsugur,600451,Guntagola,49,666,465,0,1402,715,1867,2582
24121,29,KARNATAKA,559,Raichur,5460,Devadurga,600587,Gopalpur,130,668,0,0,144,798,144,942
24125,29,KARNATAKA,559,Raichur,5459,Lingsugur,600523,Myadarnal,248,668,1211,0,8680,916,9891,10807
24126,29,KARNATAKA,559,Raichur,5460,Devadurga,600667,Ramdurg,332,668,445,0,1061,1000,1506,2506
24139,29,KARNATAKA,559,Raichur,5459,Lingsugur,600433,Hunkunti,195,669,524,0,1516,864,2040,2904
24216,29,KARNATAKA,559,Raichur,5462,Manvi,600961,Ballatgi,353,677,197,0,596,1030,793,1823
24220,29,KARNATAKA,559,Raichur,5460,Devadurga,600707,Kyadigera,80,678,319,0,517,758,836,1594
24235,29,KARNATAKA,559,Raichur,5459,Lingsugur,600478,Roudala Banda,246,680,330,0,1051,926,1381,2307
24254,29,KARNATAKA,559,Raichur,5460,Devadurga,600549,Jalhalli,239,682,509,402,619,921,1128,2451
24277,29,KARNATAKA,559,Raichur,5460,Devadurga,600643,Hemanal,50,685,737,0,99,735,836,1571
24292,29,KARNATAKA,559,Raichur,5459,Lingsugur,600385,Bannigol,122,687,469,0,1725,809,2194,3003
24308,29,KARNATAKA,559,Raichur,5461,Raichur,600877,Buddinni,267,688,47,0,144,955,191,1146
24351,29,KARNATAKA,559,Raichur,5460,Devadurga,600705,Shavantgal,33,693,780,0,1023,726,1803,2529
24425,29,KARNATAKA,559,Raichur,5459,Lingsugur,600509,Jakker-Madu,145,701,287,0,1582,846,1869,2715
24445,29,KARNATAKA,559,Raichur,5460,Devadurga,600682,Chintalkunta,161,704,598,0,686,865,1284,2149
24456,29,KARNATAKA,559,Raichur,5462,Manvi,601043,Byagwat,339,705,774,0,826,1044,1600,2644
24462,29,KARNATAKA,559,Raichur,5461,Raichur,600797,Bijangera,287,706,1003,0,858,993,1861,2854
24463,29,KARNATAKA,559,Raichur,5462,Manvi,601042,Tadkal,347,706,487,0,1861,1053,2348,3401
24482,29,KARNATAKA,559,Raichur,5461,Raichur,600856,Maldoddi,159,709,610,0,902,868,1512,2380
24492,29,KARNATAKA,559,Raichur,5462,Manvi,601005,Sunkeswara,451,710,170,0,977,1161,1147,2308
24514,29,KARNATAKA,559,Raichur,5460,Devadurga,600576,Gandhal,158,712,1046,0,1008,870,2054,2924
24536,29,KARNATAKA,559,Raichur,5463,Sindhnur,601207,Somlapur,413,714,167,0,398,1127,565,1692
24538,29,KARNATAKA,559,Raichur,5462,Manvi,600926,Malladgudda,501,714,207,0,231,1215,438,1653
24594,29,KARNATAKA,559,Raichur,5463,Sindhnur,601169,Gonwar,208,720,0,0,1746,928,1746,2674
24647,29,KARNATAKA,559,Raichur,5459,Lingsugur,600468,Phoolabhavi,54,727,1964,0,2831,781,4795,5576
24689,29,KARNATAKA,559,Raichur,5461,Raichur,600851,Gunjhalli,66,732,56,60,553,798,609,1467
24698,29,KARNATAKA,559,Raichur,5461,Raichur,600881,Meerapur,116,733,421,0,1015,849,1436,2285
24699,29,KARNATAKA,559,Raichur,5459,Lingsugur,600414,Eachanhal,135,733,672,0,1859,868,2531,3399
24718,29,KARNATAKA,559,Raichur,5461,Raichur,600843,Yergera,361,736,1246,0,2882,1097,4128,5225
24772,29,KARNATAKA,559,Raichur,5460,Devadurga,600539,Lingadhalli,140,744,283,0,259,884,542,1426
24774,29,KARNATAKA,559,Raichur,5459,Lingsugur,600371,Amdihal,175,744,485,132,814,919,1299,2350
24780,29,KARNATAKA,559,Raichur,5459,Lingsugur,600474,Machanur,124,746,1082,0,1504,870,2586,3456
24781,29,KARNATAKA,559,Raichur,5462,Manvi,600950,Kurkunda,147,746,225,10,2481,893,2706,3609
